id,modifier_reference,modifier_name,modifier_name_localized,tax_group_reference,name,sku,price,cost,calories,name_localized,is_active
9f817eed-6eb6-47e4-9b93-7268488adc7d,,"Pro | Milk",,,"Extra | Sweet Milk",MML-045,0,,,,Yes
9f817e25-5564-43c4-bac6-b3fafeb4fb61,,"Pro | Milk",,,"Japan Milk",MML-044,0,,,,Yes
9f817dad-905f-42ef-ac36-f258f70d1ed6,,"Pro | Milk",,,"LF Milk",MML-043,0,,,,Yes
9f817d47-0ab8-4d70-8456-b98dd4cac9e2,,"Pro | Milk",,,"FF Sweet Milk",MML-042,0,,,,Yes
9f817ce8-a0ee-46b5-9625-7cb4cfd97ed3,,"Pro | Milk",,,"Barista FF Milk",MML-041,0,,,,Yes
9f817ca5-84ec-44de-a3dc-1fd4327e411f,,"Pro | Milk",,,"Lactose Free Milk",MML-040,0,,,,Yes
9f817c28-2278-4de3-b567-b2ce01fab861,,"Pro | Milk",,,"Almond Milk",MML-039,0.2,,,,Yes
9f817bd9-0e72-4f06-a13a-ceed01908476,,"Pro | Milk",,,"Soya Milk",MML-038,0.2,,,,Yes
9f817ba1-f702-4063-842f-9401e1cc57ef,,"Pro | Milk",,,"Coconut Milk",MML-037,0.2,,,,Yes
9f817b2b-5a85-4409-b0df-d4991bd76c6d,,"Pro | Milk",,,"Oat Milk",MML-036,0.2,,,,Yes
9f817a84-b495-4629-9267-cd00bd0ed203,,"Pro | Milk",,,"LF Milk | Sweet",MML-035,0,,,,Yes
9f697030-f7c2-4690-beec-b80b4ba142cd,22,Extra,,,"Proteins Collagen",MEX-020,0.5,,,,Yes
9f657666-3cdf-402e-bb8c-d90f45b3150f,,"Coffee | Shots",,,"Espresso |  Super Colombia",ST-019,0.3,,,,Yes
9f2f3203-fbe9-414b-88af-669e6fa3a1ce,,Topping,,,"Sesame Seeds",TOP-08,0.15,,,,Yes
9f2f31c2-6fd9-46f8-ae9c-38f2acf3fa96,,Topping,,,"Coconut Sweet Milk",TOP-07,0.2,,,,No
9f2f3169-668b-478d-9ce9-f8750c6f345c,,Topping,,,"Chocolate Sauce",TOP-06,0.2,,,,No
9f2f3060-be12-4e3c-9745-f7923fd05307,,Topping,,,"Passion Puree",TOP-05,0.15,,,,Yes
9f2f3006-399b-4aa4-9e33-3bf10d2433ee,,Topping,,,"Mango Puree",TOP-04,0.15,,,,Yes
9eeace85-0b84-4c6e-ad25-027766a62b04,,"Coffee | Shots",,,"3 Espresso | Gwanda",ST-018,0.6,,,,Yes
9eeace04-f832-40ac-8a26-a4a7d719640d,,"Coffee | Shots",,,"2 Espresso | Gwanda",ST-017,0.3,,,,Yes
9eeacda2-dd7f-4c19-96aa-3366d2fd16ba,,"Coffee | Shots",,,"1 Espresso | Gwanda",ST-016,0,,,,Yes
9ee8edd5-5f1d-4db6-8fe5-e7d0df955ca5,,Topping,,,"Salted Caramel | Nuts | Biscuits",TOP-03,0.2,,,,Yes
9eceb399-e9d9-469d-82c8-e2ec2611a5b7,,"Coffee | Shots",,,"3 Espresso | Decaf",ST-015,0.6,,,,Yes
9eceb33c-1244-499c-8a50-8e096e0f17ab,,"Coffee | Shots",,,"2 Espresso | Decaf",ST-014,0.3,,,,Yes
9eceb2b3-e041-4724-8c09-bc24acef61c4,,"Coffee | Shots",,,"1 Espresso | Decaf",ST-013,0,,,,Yes
9eb85e2c-144e-4ae6-b276-5aa41767ccce,22,Extra,,,"Honey Spoon",MEX-019,0.25,,,,No
9eb85d21-4d65-46d6-a0f6-f787fb5e6112,22,Extra,,,"Pesto Labneh",MEX-018,0.5,,,,No
9eb85cb2-4033-427e-8cb5-659a486d299e,22,Extra,,,"Sriracha Labneh",MEX-016,0.5,,,,No
9eb85c49-3ccf-4741-a299-6412550df006,22,Extra,,,"Sundried Tomato Labneh",MEX-015,0.5,,,,No
9eb85be1-a4bb-4b88-950e-3149bd0c8b32,22,Extra,,,Geymar,MEX-014,0.5,,,,No
9eb85b07-51d8-4564-9370-b1b7505a56fb,22,Extra,,,"Caramel Sauce",MEX-008,0.5,,,,No
9eb85a25-1b68-4318-89b5-3a91cf148df9,22,Extra,,,"Chocolate Sauce",MEX-005,0.5,,,,No
9eb850dd-039f-4484-8957-c23b0645bf5d,11,Option,,,"Pesto Labneh",MOP-024,0,,,,No
9eb85093-0de4-4cb7-9e27-f915f6909abc,11,Option,,,"Sriracha Labneh",MOP-023,0,,,,No
9eb85056-3f27-4130-a4ef-e36844a23ab2,11,Option,,,"Sundried Tomato Labneh",MOP-022,0,,,,No
9eb84fee-7437-49e8-b7cf-79f393b4992f,11,Option,,,"Geymar & Spoon Honey",MOP-021,0.25,,,,No
9eb84f75-3f67-4b1c-9ba3-ca6198c5725a,11,Option,,,"Caramel Sauce",MOP-020,0,,,,Yes
9eb22b17-26ec-43db-b02f-048fc0af4bbf,11,Option,,,"Chocolate Dip",MOP-010,0,,,,No
9e55cd18-a069-4511-bed7-9438da6eea38,11,Option,,,"Extra Sweet",MOP-009,0.35,,,,Yes
9d782a66-9934-44b4-9401-6834b5eeb273,,"Coffee | Shots",,,"3 Espresso | Classic Roast",ST-012,0.6,,,,Yes
9d7829e7-b681-4bf4-a7e7-89907867e41e,,"Coffee | Shots",,,"2 Espresso | Classic Roast",ST-011,0.3,,,,Yes
9d7829bb-698a-4b79-8e4a-183496fdb178,,"Coffee | Shots",,,"1 Espresso | Classic Roast",ST-010,0,,,,Yes
9d78290f-8c91-4bd9-aead-11028a9a98af,,"Coffee | Shots",,,"1/2 Espresso| Classic Roast",ST-009,0,,,,No
9d7828ab-0229-4295-bce3-5d2f84dafe1e,,"Coffee | Shots",,,"3 Espresso | Brazil",ST-008,0.6,,,,No
9d78284a-af43-466f-b47e-340f9cc466cd,,"Coffee | Shots",,,"2 Espresso | Brazil",ST-007,0.3,,,,No
9d76dfd2-66f2-4728-8147-5452e25f3f8c,,"Coffee | Shots",,,"1 Espresso | Brazil",ST-006,0,,,,No
