product_name,product_name_localized,product_sku,modifier_name,modifier_name_localized,modifier_reference,minimum_options,maximum_options,free_options,default_options,unique_options
Croissant | Feta Cheese,Croissant | Feta Cheese,CROISSANT_FETA_CHEESE,Delivery,ديليفري,Delivery,1,1,0,,1
Croissant | Turkey & Cheese,Croissant | Turkey & Cheese,CROISSANT_TURKEY_CHEESE,Extra,اضافي,Extra,0,10,0,,1
Croissant | Turkey & Cheese,Croissant | Turkey & Cheese,CROISSANT_TURKEY_CHEESE,Delivery,ديليفري,Delivery,1,1,0,,1
Muffin | Blueberry,Muffin | Blueberry,MUFFIN_BLUEBERRY,Extra,اضافي,Extra,0,10,0,,1
Muffin | Blueberry,Muffin | Blueberry,MUFFIN_BLUEBERRY,Delivery,ديليفري,Delivery,1,1,0,,1
Muffin | Chocolate Chip,Muffin | Chocolate Chip,MUFFIN_CHOCOLATE_CHIP,Extra,اضافي,Extra,0,10,0,,1
Muffin | Chocolate Chip,Muffin | Chocolate Chip,MUFFIN_CHOCOLATE_CHIP,Delivery,ديليفري,Delivery,1,1,0,,1
Muffin | Banana Walnut,Muffin | Banana Walnut,MUFFIN_BANANA_WALNUT,Extra,اضافي,Extra,0,10,0,,1
Muffin | Banana Walnut,Muffin | Banana Walnut,MUFFIN_BANANA_WALNUT,Delivery,ديليفري,Delivery,1,1,0,,1
Danish | Cheese,Danish | Cheese,DANISH_CHEESE,Extra,اضافي,Extra,0,10,0,,1
Danish | Cheese,Danish | Cheese,DANISH_CHEESE,Delivery,ديليفري,Delivery,1,1,0,,1
Danish | Apple,Danish | Apple,DANISH_APPLE,Extra,اضافي,Extra,0,10,0,,1
Danish | Apple,Danish | Apple,DANISH_APPLE,Delivery,ديليفري,Delivery,1,1,0,,1
Bagel | Plain,Bagel | Plain,BAGEL_PLAIN,Extra,اضافي,Extra,0,10,0,,1
Bagel | Plain,Bagel | Plain,BAGEL_PLAIN,Delivery,ديليفري,Delivery,1,1,0,,1
Bagel | Sesame,Bagel | Sesame,BAGEL_SESAME,Extra,اضافي,Extra,0,10,0,,1
Bagel | Sesame,Bagel | Sesame,BAGEL_SESAME,Delivery,ديليفري,Delivery,1,1,0,,1
Bagel | Everything,Bagel | Everything,BAGEL_EVERYTHING,Extra,اضافي,Extra,0,10,0,,1
Bagel | Everything,Bagel | Everything,BAGEL_EVERYTHING,Delivery,ديليفري,Delivery,1,1,0,,1
Sandwich | Club,Sandwich | Club,SANDWICH_CLUB,Extra,اضافي,Extra,0,10,0,,1
Sandwich | Club,Sandwich | Club,SANDWICH_CLUB,Delivery,ديليفري,Delivery,1,1,0,,1
Sandwich | BLT,Sandwich | BLT,SANDWICH_BLT,Extra,اضافي,Extra,0,10,0,,1
Sandwich | BLT,Sandwich | BLT,SANDWICH_BLT,Delivery,ديليفري,Delivery,1,1,0,,1
Sandwich | Grilled Chicken,Sandwich | Grilled Chicken,SANDWICH_GRILLED_CHICKEN,Extra,اضافي,Extra,0,10,0,,1
Sandwich | Grilled Chicken,Sandwich | Grilled Chicken,SANDWICH_GRILLED_CHICKEN,Delivery,ديليفري,Delivery,1,1,0,,1
Sandwich | Tuna,Sandwich | Tuna,SANDWICH_TUNA,Extra,اضافي,Extra,0,10,0,,1
Sandwich | Tuna,Sandwich | Tuna,SANDWICH_TUNA,Delivery,ديليفري,Delivery,1,1,0,,1
Wrap | Caesar Chicken,Wrap | Caesar Chicken,WRAP_CAESAR_CHICKEN,Extra,اضافي,Extra,0,10,0,,1
Wrap | Caesar Chicken,Wrap | Caesar Chicken,WRAP_CAESAR_CHICKEN,Delivery,ديليفري,Delivery,1,1,0,,1
Wrap | Turkey & Cheese,Wrap | Turkey & Cheese,WRAP_TURKEY_CHEESE,Extra,اضافي,Extra,0,10,0,,1
Wrap | Turkey & Cheese,Wrap | Turkey & Cheese,WRAP_TURKEY_CHEESE,Delivery,ديليفري,Delivery,1,1,0,,1
Wrap | Veggie,Wrap | Veggie,WRAP_VEGGIE,Extra,اضافي,Extra,0,10,0,,1
Wrap | Veggie,Wrap | Veggie,WRAP_VEGGIE,Delivery,ديليفري,Delivery,1,1,0,,1
Salad | Caesar,Salad | Caesar,SALAD_CAESAR,Extra,اضافي,Extra,0,10,0,,1
Salad | Caesar,Salad | Caesar,SALAD_CAESAR,Delivery,ديليفري,Delivery,1,1,0,,1
Salad | Greek,Salad | Greek,SALAD_GREEK,Extra,اضافي,Extra,0,10,0,,1
Salad | Greek,Salad | Greek,SALAD_GREEK,Delivery,ديليفري,Delivery,1,1,0,,1
Salad | Garden,Salad | Garden,SALAD_GARDEN,Extra,اضافي,Extra,0,10,0,,1
Salad | Garden,Salad | Garden,SALAD_GARDEN,Delivery,ديليفري,Delivery,1,1,0,,1
Soup | Tomato,Soup | Tomato,SOUP_TOMATO,Extra,اضافي,Extra,0,10,0,,1
Soup | Tomato,Soup | Tomato,SOUP_TOMATO,Delivery,ديليفري,Delivery,1,1,0,,1
Soup | Chicken Noodle,Soup | Chicken Noodle,SOUP_CHICKEN_NOODLE,Extra,اضافي,Extra,0,10,0,,1
Soup | Chicken Noodle,Soup | Chicken Noodle,SOUP_CHICKEN_NOODLE,Delivery,ديليفري,Delivery,1,1,0,,1
Soup | Vegetable,Soup | Vegetable,SOUP_VEGETABLE,Extra,اضافي,Extra,0,10,0,,1
Soup | Vegetable,Soup | Vegetable,SOUP_VEGETABLE,Delivery,ديليفري,Delivery,1,1,0,,1
Cookie | Chocolate Chip,Cookie | Chocolate Chip,COOKIE_CHOCOLATE_CHIP,Extra,اضافي,Extra,0,10,0,,1
Cookie | Chocolate Chip,Cookie | Chocolate Chip,COOKIE_CHOCOLATE_CHIP,Delivery,ديليفري,Delivery,1,1,0,,1
Cookie | Oatmeal Raisin,Cookie | Oatmeal Raisin,COOKIE_OATMEAL_RAISIN,Extra,اضافي,Extra,0,10,0,,1
Cookie | Oatmeal Raisin,Cookie | Oatmeal Raisin,COOKIE_OATMEAL_RAISIN,Delivery,ديليفري,Delivery,1,1,0,,1
Cookie | Peanut Butter,Cookie | Peanut Butter,COOKIE_PEANUT_BUTTER,Extra,اضافي,Extra,0,10,0,,1
Cookie | Peanut Butter,Cookie | Peanut Butter,COOKIE_PEANUT_BUTTER,Delivery,ديليفري,Delivery,1,1,0,,1
