product_name,product_name_localized,product_sku,modifier_name,modifier_name_localized,modifier_reference,minimum_options,maximum_options,free_options,default_options,unique_options
HOT | Caramel Macchiato (M),HOT | Caramel Macchiato (M),HOT_CARAMEL_MACCHIATO_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Caramel Macchiato (M),HOT | Caramel Macchiato (M),HOT_CARAMEL_MACCHIATO_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Caramel Macchiato (M),HOT | Caramel Macchiato (M),HOT_CARAMEL_MACCHIATO_M,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Caramel Macchiato (M),HOT | Caramel Macchiato (M),HOT_CARAMEL_MACCHIATO_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Mocha (M),HOT | Mocha (M),HOT_MOCHA_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Mocha (M),HOT | Mocha (M),HOT_MOCHA_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Mocha (M),HOT | Mocha (M),HOT_MOCHA_M,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Mocha (M),HOT | Mocha (M),HOT_MOCHA_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | V60 (M),HOT | V60 (M),HOT_V60_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | V60 (M),HOT | V60 (M),HOT_V60_M,Extra,اضافي,Extra,0,10,0,,1
HOT | V60 (M),HOT | V60 (M),HOT_V60_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Flat White (M),HOT | Flat White (M),HOT_FLAT_WHITE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Flat White (M),HOT | Flat White (M),HOT_FLAT_WHITE_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Flat White (M),HOT | Flat White (M),HOT_FLAT_WHITE_M,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Flat White (M),HOT | Flat White (M),HOT_FLAT_WHITE_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Cortado (M),HOT | Cortado (M),HOT_CORTADO_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Cortado (M),HOT | Cortado (M),HOT_CORTADO_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Cortado (M),HOT | Cortado (M),HOT_CORTADO_M,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Cortado (M),HOT | Cortado (M),HOT_CORTADO_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Black Spanish (L),HOT | Black Spanish (L),HOT_BLACK_SPANISH_L,Extra,اضافي,Extra,0,10,0,,1
HOT | Black Spanish (L),HOT | Black Spanish (L),HOT_BLACK_SPANISH_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Black Coffee (L),HOT | Black Coffee (L),HOT_BLACK_COFFEE_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Black Coffee (L),HOT | Black Coffee (L),HOT_BLACK_COFFEE_L,Extra,اضافي,Extra,0,10,0,,1
HOT | Black Coffee (L),HOT | Black Coffee (L),HOT_BLACK_COFFEE_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Cappuccino (L),HOT | Cappuccino (L),HOT_CAPPUCCINO_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Cappuccino (L),HOT | Cappuccino (L),HOT_CAPPUCCINO_L,Extra,اضافي,Extra,0,10,0,,1
HOT | Cappuccino (L),HOT | Cappuccino (L),HOT_CAPPUCCINO_L,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Cappuccino (L),HOT | Cappuccino (L),HOT_CAPPUCCINO_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Latte (L),HOT | Latte (L),HOT_LATTE_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Latte (L),HOT | Latte (L),HOT_LATTE_L,Extra,اضافي,Extra,0,10,0,,1
HOT | Latte (L),HOT | Latte (L),HOT_LATTE_L,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Latte (L),HOT | Latte (L),HOT_LATTE_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Caramel Macchiato (L),HOT | Caramel Macchiato (L),HOT_CARAMEL_MACCHIATO_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Caramel Macchiato (L),HOT | Caramel Macchiato (L),HOT_CARAMEL_MACCHIATO_L,Extra,اضافي,Extra,0,10,0,,1
HOT | Caramel Macchiato (L),HOT | Caramel Macchiato (L),HOT_CARAMEL_MACCHIATO_L,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Caramel Macchiato (L),HOT | Caramel Macchiato (L),HOT_CARAMEL_MACCHIATO_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Mocha (L),HOT | Mocha (L),HOT_MOCHA_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Mocha (L),HOT | Mocha (L),HOT_MOCHA_L,Extra,اضافي,Extra,0,10,0,,1
HOT | Mocha (L),HOT | Mocha (L),HOT_MOCHA_L,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Mocha (L),HOT | Mocha (L),HOT_MOCHA_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | V60 (L),HOT | V60 (L),HOT_V60_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | V60 (L),HOT | V60 (L),HOT_V60_L,Extra,اضافي,Extra,0,10,0,,1
HOT | V60 (L),HOT | V60 (L),HOT_V60_L,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Spanish Latte (L),HOT | Spanish Latte (L),HOT_SPANISH_LATTE_L,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Spanish Latte (L),HOT | Spanish Latte (L),HOT_SPANISH_LATTE_L,Extra,اضافي,Extra,0,10,0,,1
HOT | Spanish Latte (L),HOT | Spanish Latte (L),HOT_SPANISH_LATTE_L,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
