id,name,sku,category_reference,tax_group_reference,is_sold_by_weight,is_active,is_stock_product,price,cost,barcode,description,preparation_time,calories,walking_minutes_to_burn_calories,is_high_salt,image,name_localized,description_localized
9cb18937-b7d0-4581-8255-eadbabdcb456,Tiramisu,PSN-160,10,,No,Yes,No,2.5,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1722863301_9cb18982-9f63-48b7-9f41-e6357c0f6691.png,تيراميسو,
9cb188a2-cfac-46f5-9967-562cd6685c4c,"Triple Chocolate Mousse",PSN-159,10,,No,No,No,1.85,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1722863405_9cb18a20-4904-4aac-8758-23f371680a7d.png,"موس الشوكولاته الثلاثية",
9cb187e8-7c84-4c80-89e1-8734b5dd4774,"Tres Leches Cake",PSN-158,10,,No,Yes,No,1.75,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1722863330_9cb189ae-09a0-4bb2-9b9f-4e9afaf7517e.png,تريليشا,
9c6f3710-b98b-4241-bdb3-c9d02eb28ae6,"ICED | Sweet Milk FF-16oz",FF-002,4,,No,Yes,No,1.65,,,,,,,No,,"حليب محلى مثلج | كبير"
9c6f3629-f076-4f41-91bf-c85ceda74fba,"ICED | Sweet Milk FF-12oz",FF-001,4,,No,Yes,No,1.35,,,,,,,No,,"حليب محلى مثلج | وسط"
9c60c2ce-fbdf-4ef2-9a4e-5ff937c4c055,"5Pcs | Drip Coffee Bags",PCB-105,12,,No,Yes,No,3.5,,695845295126,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1726641031_9d097e88-afaf-4079-9336-c9724f19d2a4.jpg,"اكياس القهوة المقطرة - ٥ أكياس",
9bdcb05a-2891-4a27-b3d4-0bd4170bd93e,"HOT | Brown Sugar Latte",PHT-122,15,,No,Yes,No,1.95,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1729419687_9d4a309d-50b8-45fb-97e2-dfbe16503d58.png,"براون شوقر لاتيه | ساخن",
9bdc0dd7-7eee-4cdc-93f3-be081680932a,"ICED | Kubbar  Tea",PBR-113,7,,No,Yes,No,1.95,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1714640486_9bf215b5-91db-42d8-9fee-c24966f6b971.png,"كبًر - شاي مثلج",
9bc0a5c9-f5a0-41bb-85cf-60813a8d1925,"ICED | Brown Sugar Latte",PIC-119,16,,No,Yes,No,2,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1724787331_9cde559e-3f75-4e4d-aa25-2db41e871d9c.jpeg,"براون شوقر لاتيه - مثلج",
9bbfd35a-1307-4f6d-870a-97cd2b9a70df,"Brioche | Egg Sandwich",PSD-115,13,,No,Yes,No,1.5,0.75925,,"Brioche sandwich stuffed with organic fried eggs, gouda cheese, and mustard aioli, making it a delicious and flavorful meal",,332,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1713853388_9bdfc23d-d6be-4c7b-9111-dda08d448d7f.png,"بيض بخبز البريوش","اندويتش البريوش محشوة ببيض عضوي مقلي، جبنة الجودا، وخردل أيولي، مما يجعلها وجبة شهية وغنية بالنكهات"
9bb3ad79-44d1-492e-b1c8-8ceedddfae1f,"Danish | Zaatar",PCR-114,8,,No,Yes,No,0.75,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1712391701_9bbdb9e8-a3cb-439d-b9e5-f28dc89edab8.png,"دانش زعتر",
9bb3abd3-a2e0-4fa9-869a-640f050c3245,"Danish | Labneh",PCR-113,8,,No,Yes,No,0.85,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1712391638_9bbdb989-11dc-4060-b775-222e47a669a4.png,"دانيش لبنة",
9b93955d-6992-4607-88a5-1b7a5357bc52,"Chocolate Muffin",PSN-155,10,,No,Yes,No,1.25,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1726570375_9d07d963-d513-412c-ae06-d4d2bdf1eb2d.png,"مافن كاكاو",
9b7b6fd4-d17d-47f9-989d-9ce2b6bd7f87,"Umm Ali",PSN-150,10,,No,No,No,1.35,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1740643364_9e4f82f1-341e-4625-8d8b-01005cd1275e.jpg,"ام علي",
9b6fe5b5-1ac4-478d-9fc7-4d7d58db9d89,"50g | Salted Caramel Pecan",PSN-153,10,,No,Yes,No,1.5,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1724834462_9cdf6e8a-eedb-4e72-bc20-13c88f4bf6c9.png,"بيكان بالكارميل المملح",
9b3713fb-64b9-41cf-86b4-6f99bd9682e4,"HOT | Andalusi Tea",PHT-121,3,,No,No,No,2.75,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1740560343_9e4d9418-f727-4b40-9566-767a95bc6ae3.png,,
9b30bc72-f88b-4211-817d-2faa662f825e,"Coffee Beans | Colombia 250g",695845497469,12,,Yes,Yes,No,6,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1730556845_9d64aa9a-4884-435e-99d0-8d3783acd86c.png,"حبوب القهوة | كولومبيا 250غ",
9b30bbe9-5a69-4197-a3e5-880a73598c0c,"Coffee Beans | Brazil 250g",659657707796,12,,Yes,No,No,6,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1729601654_9d4e6d38-6a8f-463e-a489-5653667c4dc6.png,"حبوب القهوة | برازيل 250غ",
9aca83e4-6f7d-4b07-a7a2-3cd0b94d945f,"Regular | Arabic Coffee",PHT-120,15,,No,No,No,3.5,,,,,,,No,,"قهوة عربية"
9a7e35df-57c0-442d-ac14-6989660148ae,"ICED | Creamy Americano",PIC-118,16,,No,Yes,No,1.95,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1699280439_9a8c74b3-07b9-44a9-ba1f-08e95ccba673.png,"كريمي أمريكانو",
9a57d30a-124c-4374-91a5-0d54a39b4bb2,Sahlab,PHT-119,3,,No,No,No,1.5,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1700738658_9aae685b-e389-48be-8435-547ce8c20b00.jpeg,سحلب,
9a4fdd82-5a35-4b52-a57a-59a752403d61,"ICED | Cold Foam Americano",PIC-117,16,,No,Yes,No,1.5,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696930820_9a55bfe0-12f7-4ccc-9262-21ba743e2bf5.jpeg,"كولد فوم أمريكانو",
9a49ccac-e225-4db9-a4d4-c737c337b060,"6Pcs | Mini Cookies",PSN-138,10,,No,Yes,No,0.95,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1704804727_9b0d1404-837a-4523-b0b2-4a99d8c82439.png,,
99b50803-7be4-47d2-9e4c-53794ecb6159,"Mixed | Mini Fridge Drinks",PPT-109,5,,No,Yes,No,0,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696328780_9a47bb70-6eb1-49b2-bac1-f000ca115278.png,,
99b2c32d-23fe-42e2-b28d-3a530f6312df,"Croissant | Zaatar",PCR-107,8,,No,No,No,1.25,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1696162100_9a43d9f3-148e-4628-868a-9babdb78da43.png,,
999aa0cf-79e1-455f-bb24-cd5db95b38a3,"Brownie Bites",PSN-129,10,,No,No,No,0.95,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1704804636_9b0d1379-f37b-4a42-b522-27c0e5f8b56c.png,,
