         table_name          | table_schema |           column_name            | ordinal_position |        data_type         | is_nullable |                    column_default                     
 devices                     | catalog      | meta                             |               11 | jsonb                    | NO          | '{}'::jsonb
 devices                     | catalog      | branch_id                        |               12 | uuid                     | YES         | 
 devices                     | catalog      | location                         |               13 | text                     | YES         | 
 devices                     | catalog      | short_code                       |               14 | character                | YES         | 
 devices                     | catalog      | id                               |               15 | uuid                     | YES         | 
 devices                     | public       | device_id                        |                1 | uuid                     | NO          | gen_random_uuid()
 devices                     | public       | tenant_id                        |                2 | uuid                     | NO          | 
 devices                     | public       | device_name                      |                3 | text                     | YES         | 
 devices                     | public       | role                             |                4 | USER-DEFINED             | NO          | 
 devices                     | public       | status                           |                5 | USER-DEFINED             | NO          | 'active'::device_status
 devices                     | public       | branch                           |                6 | text                     | YES         | 
 devices                     | public       | device_token                     |                7 | text                     | NO          | 
 devices                     | public       | activated_at                     |                8 | timestamp with time zone | YES         | 
 devices                     | public       | revoked_at                       |                9 | timestamp with time zone | YES         | 
 devices                     | public       | last_seen                        |               10 | timestamp with time zone | YES         | 
 devices                     | public       | meta                             |               11 | jsonb                    | NO          | '{}'::jsonb
 devices                     | public       | short_code                       |               12 | character                | YES         | 
 devices                     | public       | branch_id                        |               13 | uuid                     | YES         | 
 devices                     | public       | location                         |               14 | text                     | YES         | 
 devices                     | public       | uuid                             |               15 | text                     | YES         | 
 devices                     | public       | activation_token                 |               16 | character varying        | YES         | 
 devices                     | public       | expiry_date                      |               17 | date                     | YES         | 
 devices                     | public       | last_checkin                     |               18 | timestamp with time zone | YES         | 
 devices                     | public       | created_at                       |               19 | timestamp with time zone | YES         | now()
 devices                     | saas         | device_id                        |                1 | uuid                     | NO          | gen_random_uuid()
 devices                     | saas         | tenant_id                        |                2 | uuid                     | NO          | 
 devices                     | saas         | branch_id                        |                3 | uuid                     | YES         | 
 devices                     | saas         | device_name                      |                4 | character varying        | NO          | 
 devices                     | saas         | uuid                             |                5 | uuid                     | NO          | gen_random_uuid()
 devices                     | saas         | activation_token                 |                6 | character varying        | YES         | 
 devices                     | saas         | status                           |                7 | character varying        | NO          | 'active'::character varying
 devices                     | saas         | expiry_date                      |                8 | date                     | YES         | 
 devices                     | saas         | last_checkin                     |                9 | timestamp with time zone | YES         | 
 devices                     | saas         | created_at                       |               10 | timestamp with time zone | NO          | now()
 devices                     | saas         | updated_at                       |               11 | timestamp with time zone | NO          | now()
 devices                     | saas         | deleted_at                       |               12 | timestamp with time zone | YES         | 
 drive_thru_state            | catalog      | tenant_id                        |                1 | uuid                     | NO          | 
 drive_thru_state            | catalog      | state                            |                2 | jsonb                    | NO          | '{}'::jsonb
 drive_thru_state            | catalog      | updated_at                       |                3 | timestamp with time zone | NO          | now()
 drive_thru_state            | public       | tenant_id                        |                1 | uuid                     | NO          | 
 drive_thru_state            | public       | state                            |                2 | jsonb                    | NO          | '{}'::jsonb
 drive_thru_state            | public       | updated_at                       |                3 | timestamp with time zone | NO          | now()
 integration_sync_runs       | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 integration_sync_runs       | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 integration_sync_runs       | catalog      | provider                         |                3 | text                     | NO          | 
 integration_sync_runs       | catalog      | started_at                       |                4 | timestamp with time zone | NO          | now()
 integration_sync_runs       | catalog      | finished_at                      |                5 | timestamp with time zone | YES         | 
 integration_sync_runs       | catalog      | ok                               |                6 | boolean                  | YES         | 
 integration_sync_runs       | catalog      | error                            |                7 | text                     | YES         | 
 integration_sync_runs       | catalog      | stats                            |                8 | jsonb                    | YES         | 
 integration_sync_runs       | catalog      | created_at                       |                9 | timestamp with time zone | NO          | now()
 integration_sync_runs       | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 integration_sync_runs       | public       | tenant_id                        |                2 | uuid                     | NO          | 
 integration_sync_runs       | public       | provider                         |                3 | text                     | NO          | 
 integration_sync_runs       | public       | started_at                       |                4 | timestamp with time zone | NO          | now()
 integration_sync_runs       | public       | finished_at                      |                5 | timestamp with time zone | YES         | 
 integration_sync_runs       | public       | ok                               |                6 | boolean                  | YES         | 
 integration_sync_runs       | public       | error                            |                7 | text                     | YES         | 
 integration_sync_runs       | public       | stats                            |                8 | jsonb                    | YES         | 
 integration_sync_runs       | public       | created_at                       |                9 | timestamp with time zone | NO          | now()
 invites                     | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 invites                     | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 invites                     | catalog      | email                            |                3 | text                     | NO          | 
 invites                     | catalog      | role                             |                4 | USER-DEFINED             | NO          | 'viewer'::tenant_role
 invites                     | catalog      | token                            |                5 | text                     | NO          | 
 invites                     | catalog      | created_at                       |                6 | timestamp with time zone | NO          | now()
 invites                     | catalog      | expires_at                       |                7 | timestamp with time zone | NO          | 
 invites                     | catalog      | redeemed_at                      |                8 | timestamp with time zone | YES         | 
 invites                     | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 invites                     | public       | tenant_id                        |                2 | uuid                     | NO          | 
 invites                     | public       | email                            |                3 | text                     | NO          | 
 invites                     | public       | role                             |                4 | USER-DEFINED             | NO          | 'viewer'::tenant_role
 invites                     | public       | token                            |                5 | text                     | NO          | 
 invites                     | public       | created_at                       |                6 | timestamp with time zone | NO          | now()
 invites                     | public       | expires_at                       |                7 | timestamp with time zone | NO          | 
 invites                     | public       | redeemed_at                      |                8 | timestamp with time zone | YES         | 
 modifier_groups             | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 modifier_groups             | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 modifier_groups             | catalog      | name                             |                3 | text                     | NO          | 
 modifier_groups             | catalog      | reference                        |                4 | text                     | YES         | 
 modifier_groups             | catalog      | min_select                       |                5 | integer                  | YES         | 
 modifier_groups             | catalog      | max_select                       |                6 | integer                  | YES         | 
 modifier_groups             | catalog      | required                         |                7 | boolean                  | NO          | false
 modifier_groups             | catalog      | created_at                       |                8 | timestamp with time zone | NO          | now()
 modifier_groups             | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 modifier_groups             | public       | tenant_id                        |                2 | uuid                     | NO          | 
 modifier_groups             | public       | name                             |                3 | text                     | NO          | 
 modifier_groups             | public       | reference                        |                4 | text                     | YES         | 
 modifier_groups             | public       | min_select                       |                5 | integer                  | YES         | 
 modifier_groups             | public       | max_select                       |                6 | integer                  | YES         | 
 modifier_groups             | public       | required                         |                7 | boolean                  | NO          | false
 modifier_groups             | public       | created_at                       |                8 | timestamp with time zone | NO          | now()
 modifier_options            | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
