         table_name          | table_schema |      column_name       | ordinal_position |        data_type         | is_nullable |                     column_default                     
 invites                     | saas         | created_at             |                6 | timestamp with time zone | NO          | now()
 invites                     | saas         | expires_at             |                7 | timestamp with time zone | NO          | 
 invites                     | saas         | redeemed_at            |                8 | timestamp with time zone | YES         | 
 modifier_groups             | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 modifier_groups             | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 modifier_groups             | catalog      | name                   |                3 | text                     | NO          | 
 modifier_groups             | catalog      | reference              |                4 | text                     | YES         | 
 modifier_groups             | catalog      | min_select             |                5 | integer                  | YES         | 
 modifier_groups             | catalog      | max_select             |                6 | integer                  | YES         | 
 modifier_groups             | catalog      | required               |                7 | boolean                  | NO          | false
 modifier_groups             | catalog      | created_at             |                8 | timestamp with time zone | NO          | now()
 modifier_groups             | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 modifier_groups             | public       | tenant_id              |                2 | uuid                     | NO          | 
 modifier_groups             | public       | name                   |                3 | text                     | NO          | 
 modifier_groups             | public       | reference              |                4 | text                     | YES         | 
 modifier_groups             | public       | min_select             |                5 | integer                  | YES         | 
 modifier_groups             | public       | max_select             |                6 | integer                  | YES         | 
 modifier_groups             | public       | required               |                7 | boolean                  | NO          | false
 modifier_groups             | public       | created_at             |                8 | timestamp with time zone | NO          | now()
 modifier_options            | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 modifier_options            | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 modifier_options            | catalog      | group_id               |                3 | uuid                     | NO          | 
 modifier_options            | catalog      | name                   |                4 | text                     | NO          | 
 modifier_options            | catalog      | price                  |                5 | numeric                  | NO          | 0
 modifier_options            | catalog      | is_active              |                6 | boolean                  | NO          | true
 modifier_options            | catalog      | sort_order             |                7 | integer                  | YES         | 
 modifier_options            | catalog      | created_at             |                8 | timestamp with time zone | NO          | now()
 modifier_options            | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 modifier_options            | public       | tenant_id              |                2 | uuid                     | NO          | 
 modifier_options            | public       | group_id               |                3 | uuid                     | NO          | 
 modifier_options            | public       | name                   |                4 | text                     | NO          | 
 modifier_options            | public       | price                  |                5 | numeric                  | NO          | 0
 modifier_options            | public       | is_active              |                6 | boolean                  | NO          | true
 modifier_options            | public       | sort_order             |                7 | integer                  | YES         | 
 modifier_options            | public       | created_at             |                8 | timestamp with time zone | NO          | now()
 modifier_options            | public       | reference              |                9 | text                     | YES         | 
 paid_order_counters         | catalog      | tenant_id              |                1 | uuid                     | NO          | 
 paid_order_counters         | catalog      | branch_id              |                2 | uuid                     | NO          | 
 paid_order_counters         | catalog      | current                |                3 | bigint                   | NO          | 0
 paid_order_counters         | public       | tenant_id              |                1 | uuid                     | NO          | 
 paid_order_counters         | public       | branch_id              |                2 | uuid                     | NO          | 
 paid_order_counters         | public       | current                |                3 | bigint                   | NO          | 0
 paid_order_counters         | saas         | tenant_id              |                1 | uuid                     | NO          | 
 paid_order_counters         | saas         | branch_id              |                2 | uuid                     | NO          | 
 paid_order_counters         | saas         | current                |                3 | bigint                   | NO          | 0
